,tramo,dev_creditos,dev_default_rate,dev_ic_inf,dev_ic_sup,val_creditos,val_default_rate,val_ic_inf,val_ic_sup
prior_delinquencies_24m (0 / 1 / 2+),"(-inf, 0.0]",1978,0.0884732052578362,0.07674254547772415,0.10179927138594448,662,0.14652567975830816,0.12162672374695387,0.17550340449976432
prior_delinquencies_24m (0 / 1 / 2+),"(0.0, 1.0]",1098,0.11748633879781421,0.09976025613600499,0.13787970953601175,377,0.11936339522546419,0.09041483739579997,0.15599101742678242
prior_delinquencies_24m (0 / 1 / 2+),"(1.0, inf]",367,0.12806539509536785,0.09768975160750273,0.16614688376458067,112,0.16964285714285715,0.11137815153115602,0.24981851702314575
bureau_inquiries_6m (0 / 1-2 / 3+),"(-inf, 0.0]",559,0.08586762075134168,0.06537593844201993,0.11201251329999772,209,0.11483253588516747,0.07839150432193798,0.16517742205335711
bureau_inquiries_6m (0 / 1-2 / 3+),"(0.0, 2.0]",1942,0.101956745623069,0.08927469868750422,0.11621047543972175,649,0.1510015408320493,0.12551247176099514,0.1805979231648184
bureau_inquiries_6m (0 / 1-2 / 3+),"(2.0, inf]",942,0.11146496815286625,0.09292462699631251,0.13316143223390112,293,0.13310580204778158,0.09891998521729495,0.17678800180339227
active_loans (0-1 / 2-3 / 4+),"(-inf, 1.0]",1402,0.10984308131241084,0.09452864096783131,0.12728980571919232,455,0.15164835164835164,0.1216160876067301,0.18751368615397512
active_loans (0-1 / 2-3 / 4+),"(1.0, 3.0]",1515,0.09900990099009901,0.0849689117152744,0.11507933558055947,525,0.1180952380952381,0.09322436366285275,0.14851456156541976
active_loans (0-1 / 2-3 / 4+),"(3.0, inf]",526,0.08935361216730038,0.06785994427996893,0.11680203771615973,171,0.17543859649122806,0.12574284572144823,0.23939680067849317
