,0
bureau_score,0.6147594134944147
prior_delinquencies_24m,0.17963763001928632
dti,0.15837489906350022
ahorro_sobre_monto,0.15616389311757356
term_months,0.1205782634251263
dti_post,0.1188961516284864
monthly_debt_payment,0.11832772349309281
relationship_months,0.11282377810024281
requested_amount,0.10830769003605424
employment_tenure_months,0.09458122807130732
bureau_inquiries_6m,0.08593347631606896
monthly_income,0.08068833480014947
savings_balance,0.06501492768663013
channel_agencia,0.02687906471174505
employment_type_temporal,0.02078092160679304
employment_type_dependiente,0.017341911343817785
active_loans,0.015542477970679848
channel_web,0.015074628766746643
employment_type_empresa,0.013904622526610398
channel_app,0.009065098839316988
channel_alianza,0.007960684025333576
employment_type_independiente,0.0074915912049763195
new_customer_flag,0.00548012965629941
