variable,tramo,orden,woe,coef,puntos_exactos,puntos
bureau_score,<= 596,0,-1.0140641321620014,-1.037295043939964,168.82401339220576,169
bureau_score,"(596, 642]",1,-0.34687494871022234,-1.037295043939964,188.79299120167488,189
bureau_score,"(642, 670]",2,0.24054235472133217,-1.037295043939964,206.37439597870645,206
bureau_score,"(670, 698]",3,0.30905577841785914,-1.037295043939964,208.42500331974344,208
bureau_score,"(698, 732]",4,0.43390650069488573,-1.037295043939964,212.16178647583058,212
bureau_score,> 732,5,1.3157513530748854,-1.037295043939964,238.5554102415305,239
bureau_score,Faltante / no visto,-1,0.0,-1.037295043939964,199.17496130139818,199
dti_post,<= 0.4131,0,0.2788961400851053,-1.0345079520076648,207.49989669157634,207
dti_post,"(0.4131, 0.4926]",1,0.07127292789187094,-1.0345079520076648,201.30242896583982,201
dti_post,"(0.4926, 0.5931]",2,-0.17869753748687633,-1.0345079520076648,193.84091310156208,194
dti_post,> 0.5931,3,-0.4655648040179017,-1.0345079520076648,185.27804285639104,185
dti_post,Faltante / no visto,-1,0.0,-1.0345079520076648,199.17496130139818,199
ahorro_sobre_monto,<= 0.1255,0,-0.40015848344999483,-0.8880068852879593,188.92191552768742,189
ahorro_sobre_monto,"(0.1255, 0.5985]",1,-0.09608907293674879,-0.8880068852879593,196.71292262442225,197
ahorro_sobre_monto,> 0.5985,2,0.29318194038555523,-0.8880068852879593,206.68700460204727,207
ahorro_sobre_monto,Faltante / no visto,-1,0.0,-0.8880068852879593,199.17496130139818,199
