especificacion,variables,gini_dev,gini_val,ks_dev,ks_val,vif_max,delta_auc_val_vs_B,ic_inf,ic_sup
A · dti_post,"bureau_score, dti_post, ahorro_sobre_monto",0.44013776937450944,0.3484848484848482,0.3339958278509378,0.2980801806888764,1.0076740166065767,0.01613652048434655,0.0033994009768747863,0.02996485117065085
B · dti,"bureau_score, dti, ahorro_sobre_monto",0.4472363198107052,0.3162118075161551,0.33975280385370943,0.2811656942091725,1.0008665197398412,,,
