,auc,gini,ks,brier,observado_sobre_predicho
Champion · scorecard,0.7119710569701411,0.42394211394028214,0.33754045307443364,0.10985558474089888,1.3124822234242077
Challenger · LightGBM monótono,0.7343225254930696,0.4686450509861393,0.35560236917628385,0.10605695739154998,1.3227298739217808
