observation_date,creditos,defaults,default_rate,ic_inf,ic_sup
2021Q1,317,30,0.0946372239747634,0.0670954675264221,0.1318862106599477
2021Q2,303,26,0.0858085808580858,0.05922921290506115,0.12275914851659744
2021Q3,291,28,0.09621993127147767,0.06741138981985625,0.1355504717356366
2021Q4,270,18,0.06666666666666667,0.042582114772933,0.1029092933987984
2022Q1,277,23,0.08303249097472924,0.05596395970453435,0.12150832360392136
2022Q2,306,31,0.10130718954248366,0.07229083200638697,0.14021000713206314
2022Q3,286,34,0.11888111888111888,0.08633110842186888,0.16153393234522595
2022Q4,277,23,0.08303249097472924,0.05596395970453435,0.12150832360392136
2023Q1,277,30,0.10830324909747292,0.07692258168607288,0.15039986627035523
2023Q2,281,42,0.1494661921708185,0.11251796306726122,0.19586957583155132
2023Q3,306,36,0.11764705882352941,0.08620033962176088,0.15857505528970356
2023Q4,252,30,0.11904761904761904,0.08467443584110623,0.16486121434244486
2024Q1,274,35,0.12773722627737227,0.09329828180425642,0.1724704151799245
2024Q2,265,34,0.12830188679245283,0.09328521321104881,0.17394128744956322
2024Q3,337,45,0.13353115727002968,0.10131447958953779,0.1740087203954406
2024Q4,275,47,0.1709090909090909,0.13102737851856036,0.21985857250166044
