modelo,simplicidad,gini_val,delta_auc_vs_mejor,ic_inf,ic_sup,peor_de_forma_significativa
Scorecard WOE (6.5),1,0.3484848484848482,0.0,0.0,0.0,False
Regresión logística (pipeline completo),2,0.33767488550097235,-0.00540498149193791,-0.028370109912081002,0.0172258561384098,False
LightGBM monótono,3,0.3093293180249703,-0.019577765229938926,-0.04439940934110086,0.003100377551393322,False
LightGBM,4,0.3040717736369911,-0.02220653742392853,-0.05012731268946992,0.002316768584922291,False
XGBoost,5,0.3085889955455172,-0.019947926469665478,-0.040450475596340414,-0.00044639481051707037,True
Random Forest,6,0.3197565719304849,-0.014364138277181637,-0.031796037921395834,0.0018368768280218628,False
