muestra,creditos_gt_20k,defaults_gt_20k,default_gt_20k,ic_inf,ic_sup,default_resto,p_fisher,pct_creditos,pct_monto,pct_perdida,perdida_sobre_monto_gt_20k,perdida_sobre_monto_resto
DEV,143,4,0.027972027972027972,0.010930213279755858,0.06971178462819394,0.10515151515151515,0.0010482275289837373,0.04153354632587859,0.14314880594366838,0.031039512768054025,0.005222745839732933,0.027237822623264997
VAL,42,11,0.2619047619047619,0.15302485372603591,0.41069019984975563,0.13525698827772767,0.03702905916443226,0.036490008688097306,0.13583143030427816,0.22555361748002511,0.06666434889059021,0.03597799917727718
