max_depth,min_samples_leaf,max_features,gini_fold_1,gini_fold_2,gini_cv
4,50,0.5,0.35335335335335327,0.40653803977356917,0.3799456965634612
6,50,0.5,0.3491056273664972,0.404285587267716,0.3766956073171066
4,20,0.5,0.35112503808156004,0.39733558578583894,0.3742303119336995
6,20,0.5,0.3422814118466293,0.38706618061112574,0.3646737962288775
4,50,sqrt,0.33808591199895544,0.3874070122403013,0.36274646211962835
6,50,sqrt,0.33394263829046444,0.38842950712782676,0.3611860727091456
4,20,sqrt,0.32783218000609304,0.3822945378026732,0.3550633589043831
6,20,sqrt,0.32492492492492486,0.383183663791826,0.35405429435837543
