tipo,indicador,estado,cosechas_en_alerta,accion,responsable,origen
Negocio,Cola de revisión manual,Rojo,2025Q4,Ampliar capacidad o ajustar umbrales,Riesgos y Negocio,6.9
Negocio,Default 12m de la cosecha,Rojo,"2025Q1, 2025Q4",Bajar el umbral de aprobación automática y escalar al Comité,Riesgos y Negocio,6.1 y 6.9
