,gini_scorecard,ks_scorecard,gini_buro_solo,gini_logistica_continua
DEV,0.44013776937450944,0.3339958278509378,0.37427438882807573,0.412259557796427
VAL,0.3484848484848482,0.2980801806888764,0.31751678273417405,0.36457745153397303
