pd,creditos,monto,pd_media,el,pct_monto,pct_el,el_sobre_monto,pct_el_acumulado
1,103,445350.088,0.182750540779803,23110.475108029175,0.07210978584503405,0.12515324286441903,0.05189282708310406,0.12515324286441903
2,102,631665.0059999999,0.15953631006438793,28693.18531988889,0.10227735333570237,0.15538603919251384,0.04542468721132367,0.2805392820569329
3,102,558191.246,0.14020878188839414,22174.54690619858,0.09038069665685734,0.12008478585521336,0.0397257159891013,0.4006240679121463
4,102,637935.0819999999,0.12512408895640903,22702.686220018528,0.10329258573325853,0.12294488922824144,0.03558776881942751,0.5235689571403878
5,102,687087.986,0.1089339153088011,21264.519208723144,0.11125128042448204,0.11515659130693591,0.03094875713446566,0.6387255484473237
6,102,611506.708,0.10128765363844164,17604.30197172773,0.0990133805849428,0.09533492798513479,0.02878840369438389,0.7340604764324584
7,102,667401.558,0.09020671523127732,17255.611528029523,0.10806371148628148,0.09344661804859428,0.02585491646099742,0.8275070944810528
8,102,552036.042,0.0769479510539201,12099.687252415439,0.08938406399811967,0.06552505260953949,0.02191829216182852,0.8930321470905922
9,102,713893.61,0.0568885262243536,11468.058043118146,0.1155915687912433,0.06210450658173494,0.01606409958357541,0.9551366536723271
10,103,670933.376,0.04297097807912467,8284.349848543457,0.1086355731440783,0.044863346327672714,0.012347499982685996,0.9999999999999999
