seg,casos,observado,estimado,sesgo,mae
"(600, 660]",55.0,0.6532654545454545,0.6164367521367521,-0.03682870240870234,0.1374435586635587
"(0, 600]",46.0,0.6495521739130435,0.6164367521367523,-0.03311542177629128,0.11658606465997769
"(660, 700]",29.0,0.5757379310344828,0.6164367521367523,0.04069882110226943,0.12885390509873268
"(700, 900]",28.0,0.5976642857142858,0.6164367521367523,0.018772466422466483,0.10189358974358975
nan,3.0,0.5169333333333334,0.6164367521367522,0.09950341880341884,0.22407891737891739
